test_name,iteration,mode,duration_ms,output_bytes,ttfb_ms
shell_cmd_init,1,cold,34.7,11,
shell_open,1,cold,26.5,378,
shell_spawn,1,cold,45.0,31691,
stdout_capture,1,cold,41.6,16,
shell_exec_init,1,cold,127.7,175,
file_edit,1,cold,35.9,0,
git_log_init,1,cold,37.5,156,
git_diff,1,cold,41.6,618,
lookup_capture,1,cold,38.7,4601,
tool_lookup,1,cold,74.6,529,
shell_cmd_init,1,warm,35.7,11,
shell_open,1,warm,25.9,378,
shell_spawn,1,warm,41.8,31691,
stdout_capture,1,warm,40.9,16,
shell_exec_init,1,warm,109.5,175,
file_edit,1,warm,35.8,0,
git_log_init,1,warm,36.4,156,
git_diff,1,warm,39.3,618,
lookup_capture,1,warm,38.4,4601,
tool_lookup,1,warm,44.0,529,
shell_cmd_init,2,warm,35.2,11,
shell_open,2,warm,26.3,378,
shell_spawn,2,warm,42.3,31691,
stdout_capture,2,warm,39.4,16,
shell_exec_init,2,warm,97.4,175,
file_edit,2,warm,28.2,0,
git_log_init,2,warm,35.7,156,
git_diff,2,warm,38.4,618,
lookup_capture,2,warm,35.8,4601,
tool_lookup,2,warm,43.5,529,
shell_cmd_init,3,warm,35.1,11,
shell_open,3,warm,25.7,378,
shell_spawn,3,warm,41.4,31691,
stdout_capture,3,warm,38.8,16,
shell_exec_init,3,warm,95.6,175,
file_edit,3,warm,30.2,0,
git_log_init,3,warm,39.4,156,
git_diff,3,warm,40.5,618,
lookup_capture,3,warm,37.7,4601,
tool_lookup,3,warm,45.0,529,
shell_cmd_init,4,warm,34.9,11,
shell_open,4,warm,25.3,378,
shell_spawn,4,warm,41.3,31691,
stdout_capture,4,warm,39.8,16,
shell_exec_init,4,warm,96.8,175,
file_edit,4,warm,30.0,0,
git_log_init,4,warm,37.7,156,
git_diff,4,warm,40.1,618,
lookup_capture,4,warm,46.8,4601,
tool_lookup,4,warm,45.6,529,
shell_cmd_init,5,warm,51.2,11,
shell_open,5,warm,26.7,378,
shell_spawn,5,warm,42.8,31691,
stdout_capture,5,warm,40.2,16,
shell_exec_init,5,warm,96.6,175,
file_edit,5,warm,30.0,0,
git_log_init,5,warm,38.7,156,
git_diff,5,warm,49.8,618,
lookup_capture,5,warm,36.8,4601,
tool_lookup,5,warm,43.5,529,
