test_name,iteration,mode,duration_ms,output_bytes,ttfb_ms
shell_cmd_init,1,cold,78.9,11,
shell_open,1,cold,54.0,378,
shell_spawn,1,cold,79.2,31691,
stdout_capture,1,cold,71.9,16,
shell_exec_init,1,cold,194.7,175,
file_edit,1,cold,85.5,0,
git_log_init,1,cold,67.9,156,
git_diff,1,cold,78.3,618,
lookup_capture,1,cold,80.2,4601,
tool_lookup,1,cold,73.7,529,
shell_cmd_init,1,warm,82.0,11,
shell_open,1,warm,56.4,378,
shell_spawn,1,warm,79.3,31691,
stdout_capture,1,warm,68.5,16,
shell_exec_init,1,warm,164.7,175,
file_edit,1,warm,94.7,0,
git_log_init,1,warm,71.0,156,
git_diff,1,warm,65.8,618,
lookup_capture,1,warm,65.1,4601,
tool_lookup,1,warm,71.9,529,
shell_cmd_init,2,warm,67.1,11,
shell_open,2,warm,56.6,378,
shell_spawn,2,warm,81.4,31691,
stdout_capture,2,warm,72.4,16,
shell_exec_init,2,warm,135.8,175,
file_edit,2,warm,58.6,0,
git_log_init,2,warm,62.8,156,
git_diff,2,warm,68.1,618,
lookup_capture,2,warm,79.6,4601,
tool_lookup,2,warm,72.6,529,
shell_cmd_init,3,warm,68.4,11,
shell_open,3,warm,58.1,378,
shell_spawn,3,warm,81.0,31691,
stdout_capture,3,warm,66.8,16,
shell_exec_init,3,warm,171.7,175,
file_edit,3,warm,85.2,0,
git_log_init,3,warm,120.5,156,
git_diff,3,warm,67.0,618,
lookup_capture,3,warm,67.6,4601,
tool_lookup,3,warm,72.8,529,
cc_baseline,1,warm,3707.0,2,3423.3
cc_bash_tool,1,warm,7706.6,20,7472.3
cc_read_tool,1,warm,11573.6,168,11019.6
cc_edit_tool,1,warm,15531.8,160,15250.4
cc_git_tool,1,warm,12671.5,126,12115.3
cc_multi_tool,1,warm,20452.0,253,20124.2
cc_baseline,2,warm,7433.2,2,7117.8
cc_bash_tool,2,warm,9605.4,20,9330.5
cc_read_tool,2,warm,12852.1,168,12553.5
cc_edit_tool,2,warm,21529.2,161,21344.4
cc_git_tool,2,warm,15897.6,126,15429.3
cc_multi_tool,2,warm,25792.9,286,25611.9
cc_baseline,3,warm,10958.7,2,10679.3
cc_bash_tool,3,warm,6282.3,20,5971.2
cc_read_tool,3,warm,6255.1,168,5958.8
cc_edit_tool,3,warm,24431.4,157,24126.0
cc_git_tool,3,warm,8419.9,98,8125.1
cc_multi_tool,3,warm,25027.2,774,24603.8
