test_name,iteration,mode,duration_ms,output_bytes,ttfb_ms
shell_cmd_init,1,cold,22.4,11,
shell_open,1,cold,3.4,378,
shell_spawn,1,cold,7.5,31691,
stdout_capture,1,cold,7.3,16,
shell_exec_init,1,cold,16.4,4,
file_edit,1,cold,3.6,0,
git_log_init,1,cold,7.0,156,
git_diff,1,cold,7.4,407,
lookup_capture,1,cold,5.8,4601,
tool_lookup,1,cold,5.8,529,
shell_cmd_init,1,warm,6.4,11,
shell_open,1,warm,3.3,378,
shell_spawn,1,warm,7.6,31691,
stdout_capture,1,warm,7.0,16,
shell_exec_init,1,warm,16.0,4,
file_edit,1,warm,3.6,0,
git_log_init,1,warm,6.7,156,
git_diff,1,warm,6.8,407,
lookup_capture,1,warm,5.6,4601,
tool_lookup,1,warm,5.3,529,
shell_cmd_init,2,warm,6.6,11,
shell_open,2,warm,3.4,378,
shell_spawn,2,warm,7.3,31691,
stdout_capture,2,warm,7.5,16,
shell_exec_init,2,warm,16.3,4,
file_edit,2,warm,3.7,0,
git_log_init,2,warm,6.8,156,
git_diff,2,warm,7.0,407,
lookup_capture,2,warm,5.4,4601,
tool_lookup,2,warm,5.0,529,
shell_cmd_init,3,warm,6.2,11,
shell_open,3,warm,3.5,378,
shell_spawn,3,warm,7.3,31691,
stdout_capture,3,warm,7.0,16,
shell_exec_init,3,warm,16.0,4,
file_edit,3,warm,3.5,0,
git_log_init,3,warm,6.8,156,
git_diff,3,warm,7.2,407,
lookup_capture,3,warm,5.9,4601,
tool_lookup,3,warm,5.3,529,
shell_cmd_init,4,warm,6.5,11,
shell_open,4,warm,3.5,378,
shell_spawn,4,warm,7.3,31691,
stdout_capture,4,warm,7.5,16,
shell_exec_init,4,warm,16.1,4,
file_edit,4,warm,3.6,0,
git_log_init,4,warm,6.7,156,
git_diff,4,warm,7.1,407,
lookup_capture,4,warm,5.4,4601,
tool_lookup,4,warm,5.0,529,
shell_cmd_init,5,warm,6.4,11,
shell_open,5,warm,3.1,378,
shell_spawn,5,warm,7.7,31691,
stdout_capture,5,warm,7.7,16,
shell_exec_init,5,warm,16.5,4,
file_edit,5,warm,3.6,0,
git_log_init,5,warm,7.1,156,
git_diff,5,warm,6.8,407,
lookup_capture,5,warm,5.7,4601,
tool_lookup,5,warm,5.1,529,
